,gx1,gx2
0,0.0,2793.648751129518
1,0.0,3034.2916072837193
2,0.0,2740.0571425774506
3,0.0,2701.9258171345764
4,0.0,2812.7144138509557
5,0.0,3072.422932726594
6,2956.20238370438,2720.991479856014
7,0.0,2818.253811025679
8,0.0,2904.4373478458997
9,0.0,3001.699679015565
10,0.0,2850.845739293829
11,3109.8300226890174,3053.357270005155
12,0.0,3058.8966671798785
13,0.0,2961.6343360102132
14,2890.1954397109807,2780.1224855828013
15,0.0,3015.225944562282
16,3025.555693697445,2942.568673288776
17,2994.3707637005623,2831.7800765723923
18,0.0,2909.9767450206214
19,2866.223078713377,2682.8601544131398
20,3017.628842698237,2929.0424077420594
21,2975.235369702476,2923.503010567339
22,0.0,2799.1881483042425
23,0.0,2890.9110822991847
24,0.0,2707.465214309296
25,3109.424791689057,3039.8310044584405
26,0.0,2837.3194737471126
27,0.0,2726.530877030736
28,2986.671388701333,2948.1080704634987
29,0.0,2791.2012799322424
30,0.0,2988.17341346885
31,0.0,2693.9389487625813
32,0.0,3020.765341737004
33,0.0,3045.370401633163
34,0.0,2823.793208200398
35,0.0,2896.450479473906
36,0.0,2877.3848167524693
37,3095.257592690474,3007.2390761902866
38,0.0,2680.4126832158636
39,3062.351180693765,3031.8441360864435
40,0.0,3012.778473365008
41,0.0,2688.399551587861
42,2865.190068713481,2669.3338888664225
43,0.0,3026.3047389117223
44,0.0,2766.596220036086
45,0.0,2804.7275454789615
46,0.0,2785.661882757523
47,0.0,2810.2669426536813
48,3013.7515966986243,2882.9242139271905
49,0.0,2934.5818049167815
50,0.0,2674.8732860411424
51,0.0,2713.0046114840184
52,3017.430184698257,2915.516142195344
53,0.0,2921.0555393700647
54,0.0,2863.858551205751
55,2879.5062267120493,2655.8076233197044
56,0.0,2772.1356172108085
57,0.0,2661.3470204944274
58,2939.5503237060448,2753.0699544893687
59,3060.2990506939705,2974.6471479221336
60,2879.5246987120477,2699.478345937301
61,0.0,2993.712810643573
62,0.0,2642.2813577729885
63,0.0,2901.989876648626
64,2888.422059711158,2725.03578459705
65,3019.671527698033,3019.2702493033175
66,2982.7535187017247,2778.6273931491196
67,2948.1374767051866,2835.8243813134336
68,2995.3911107004606,2797.6930558705562
69,0.0,2803.232453045279
70,2908.3361567091665,2686.9044591541774
71,3007.188957699281,3057.4015747461913
72,2893.7768517106224,2705.9701218756127
73,0.0,2946.6129780298115
74,0.0,3000.2045865818827
75,0.0,2986.678321035167
76,0.0,3043.875309199478
77,0.0,2908.4816525869383
78,0.0,2889.4159898655016
79,0.0,3038.3359120247555
80,0.0,2822.2981157667164
81,2948.09911970519,2667.83879643274
82,2893.6579627106344,2711.5095190503334
83,0.0,2894.955387040222
84,2969.4637037030534,2816.7587185919947
85,3002.056180699794,2914.02104976166
86,0.0,2765.1011276024037
87,2995.956295700404,2927.547315308374
88,0.0,2933.0867124830957
89,0.0,2784.166790323842
90,2980.2249997019776,2789.7061874985616
91,3014.90053169851,2875.8897243187857
92,0.0,3005.743983756602
93,0.0,2692.443856328898
94,3003.367105699663,3024.809646478041
95,2885.1772217114817,2678.9175907821805
96,0.0,2881.4291214935056
97,0.0,2973.1520554884473
98,3029.264374697074,3030.3490436527613
99,0.0,2862.3634587720685
100,2999.554768700044,2919.560446936381
101,0.0,2697.9832535036217
102,3027.390670697261,3011.283380931323
103,0.0,2992.217718209888
104,2995.837800700416,2997.757115384606
105,2969.2637497030737,2757.1142592304095
106,3007.2233326992773,2770.6405247771254
107,0.0,2673.3781936074606
108,0.0,2665.391325235466
109,2944.1898147055813,2654.3125308860226
110,0.0,2776.1799219518466
111,0.0,2808.7718502199996
112,2997.362615700263,3016.8227781060455
113,0.0,2867.902855946791
114,0.0,2751.574862055685
115,0.0,2848.8371932253517
116,0.0,2640.7862653393076
117,0.0,2659.8519280607434
118,0.0,2959.6257899417346
119,2919.0036337080996,2684.456987956901
120,2938.847291706115,2795.2455846732823
121,3020.033865697997,2900.4947842149422
122,0.0,2906.0341813896653
123,0.0,2978.69145266317
124,2957.143286704286,2627.259999792589
125,0.0,2738.04859650897
126,0.0,2646.3256625140275
127,0.0,2886.9685186682273
128,2684.369883731563,2405.9848711269656
129,2683.946180731605,2331.866270657643
130,0.0,2350.554854305773
131,2720.264143727974,2498.1563211212233
132,0.0,2627.0692042885457
133,2772.7170827227287,2388.4383107134054
134,0.0,2295.124837484578
135,0.0,2571.639187467351
136,0.0,2387.296287478834
137,2639.1415047360856,2424.0377206518997
138,0.0,2425.1797438864705
139,0.0,2516.2091706461597
140,0.0,2351.6968775403393
141,0.0,2590.327771115483
142,2654.564166734544,2461.921177059538
143,0.0,2536.039777528855
144,2647.106990735289,2479.467737473095
145,2723.5548377276446,2480.609760707666
146,2748.8047687251196,2442.726304300029
147,2776.5136807223485,2443.8683275345966
148,2702.285855729772,2239.6948206633856
149,2676.6503937323346,2677.528478612629
150,0.0,2623.438906439325
151,0.0,2277.5782770710202
152,0.0,2534.8977542942894
153,0.0,2517.3511938807324
154,2708.8468747291154,2333.008293892212
155,2660.591318733941,2369.749727065279
156,0.0,2241.9788671325246
157,2773.258518722674,2334.1503171267827
158,0.0,2569.349334266025
159,0.0,2240.836843897954
160,2735.530254726447,2481.7517839422358
161,0.0,2463.0632002941056
162,0.0,2296.2668607191467
163,2725.5718287274426,2297.4088839537167
164,2621.690393737831,2407.6331834729126
165,2727.8080557272187,2185.40682707676
166,0.0,2518.4932171152986
167,0.0,2389.5803339479758
168,0.0,2464.205223528676
169,0.0,2572.7812107019236
170,0.0,2224.4323067189644
171,0.0,2261.1737398920295
172,2660.0428007339956,2315.461733478654
173,2673.0705557326933,2223.2902834843953
174,0.0,2515.2597620927168
175,2654.8233557345175,2370.8917502998474
176,2599.0540507400947,2353.345189886287
177,2620.284374737972,2316.6037567132253
178,0.0,2278.7203003055893
179,0.0,2243.1208903670936
180,0.0,2076.8308399035136
181,0.0,2408.7752067074807
182,2721.6534487278345,2131.1188334901376
183,2622.40328673776,2187.6908735458996
184,0.0,2186.5488503113315
185,0.0,2279.8623235401597
186,0.0,2426.321767121039
187,2618.359397738164,2335.292340361351
188,2618.9673377381027,2169.002289897772
189,0.0,2427.463790355611
190,0.0,2372.033773534417
191,2620.7496527379253,2132.260856724707
192,0.0,2308.293635296978
193,0.0,2313.355797989649
194,0.0,2291.62831166688
195,0.0,2276.4418235888697
196,0.0,2287.7589265213765
197,0.0,2217.8003628653255
198,0.0,2250.8449521205994
199,0.0,2222.862525557994
200,0.0,2286.56614897421
201,2229.091110777091,2227.924688250663
202,2430.870601756913,2316.1972686657723
203,0.0,2259.7764999587716
204,2276.937985772306,2260.9692775059384
205,0.0,2314.5485755368136
206,0.0,2281.503986281543
207,0.0,2234.1796284904985
208,0.0,2255.907114813269
209,2318.438818768156,2212.738200172653
210,0.0,2282.696763828711
211,2386.1287267613866,2244.5900118807617
212,2365.9932867634,2312.1793845119
213,2292.10138877079,2254.7143372661035
214,0.0,2319.6107382294867
215,2328.966457767103,2297.883251906715
216,2323.123448767688,2218.993140412493
217,0.0,2292.821089214049
218,2448.3005787551697,2318.5916597447126
219,0.0,2320.8035157766526
220,0.0,2229.117465797831
221,0.0,2224.055303105162
222,0.0,2249.652174573434
223,0.0,2240.4345687303357
224,0.0,2230.310243345
225,0.0,2225.2480806523304
226,0.0,2325.0039349775243
227,2423.954744757604,2294.0138667612146
228,0.0,2235.372406037668
229,2367.0053007632996,2257.099892360437
230,2276.116110772388,2266.0314401986097
231,0.0,2288.951704068545
232,2392.8463427607157,2314.5737755908413
233,0.0,2236.5651835848357
234,0.0,2278.5413206782814
235,0.0,2267.224217745775
236,2305.3015507694695,2303.5261495164787
237,0.0,2319.3625577487246
238,2221.6264807778375,2273.4791579856137
239,0.0,2305.3309696937204
240,0.0,2272.2863804384456
241,0.0,2246.6895089701743
242,2286.5112267713484,2327.0584560164903
243,2147.656365785235,2231.503020892164
244,0.0,2316.9681666697825
245,0.0,2299.076029453884
246,2273.916342772608,2327.3983260564687
247,0.0,2241.6273462775057
248,2436.183193756382,2320.986050823656
249,2348.6121297651384,2262.1620550531084
250,2239.9053697760096,2300.2688070010513
251,2196.588124780342,2268.416995292944
252,0.0,2305.920540595419
253,0.0,2295.206644308382
254,2213.8271297786173,2263.354832600273
255,2279.607499772039,2323.3804419025955
256,0.0,2759.385088359989
257,2771.864768722813,2705.7934798079204
258,0.0,2686.7278170864843
259,0.0,3000.027944514188
260,0.0,3019.093607235626
261,0.0,2816.582076524302
262,2900.965832709903,2783.990148256148
263,3002.2057176997796,2913.844407693968
264,2959.6009487040396,2778.4507510814265
265,0.0,2894.778744972528
266,0.0,2870.173685076371
267,0.0,2667.662154365047
268,0.0,2673.2015515397675
269,0.0,2797.516413802865
270,0.0,3038.1592699570624
271,0.0,2803.055810977585
272,2949.719212705028,2980.9622817927516
273,0.0,2692.267214261205
274,2953.0747217046924,2967.4360162460357
275,2953.90555570461,2889.2393477978067
276,2959.942592704006,2875.7130822510917
277,3001.4350226998567,2927.3706732406827
278,0.0,2764.92448553471
279,0.0,2648.5964916436087
280,0.0,3024.633004410347
281,0.0,2654.1358888183295
282,2779.903726722009,2678.7409487144887
283,0.0,2908.305010519245
284,3007.485300699251,3005.56734168891
285,0.0,2745.8588228132735
286,2950.7828007049216,2972.975413420757
287,0.0,2770.4638827094327
288,0.0,2953.9097506993185
289,2937.808980706219,2986.5016789674723
290,2783.1427307216854,2659.675285993051
291,0.0,3011.1067388636316
292,0.0,2992.041076142192
293,0.0,2856.6474195296532
294,0.0,2635.070226096892
295,2904.0403237095957,2789.5295454308703
296,0.0,2732.332557266555
297,2956.547129704345,2829.59488843622
298,2944.2160877055785,2978.5148105954772
299,0.0,2751.3982199879943
300,3008.3561336991647,2900.3181421472486
301,2950.079004704992,2621.543960550176
302,2945.9968977054,2940.383485152603
303,0.0,2862.186816704374
304,0.0,2843.1211539829374
305,0.0,2737.871954441278
306,0.0,2608.0176950034606
307,0.0,2665.21468316777
308,0.0,2848.660551157661
309,2966.6077307033393,2997.580473316914
310,0.0,2881.252479425814
311,2929.305601707069,2646.1490204463353
312,0.0,2640.6096232716145
313,2959.455207704054,2959.4491478740388
314,0.0,2867.7262138790948
315,0.0,2776.0032798841526
316,2919.982406708002,2886.791876600534
317,0.0,2718.8062917198395
318,2942.163865705784,2756.937617162716
319,2751.5986807248405,2671.7064591060835
320,0.0,2690.772121827519
321,2973.337175702666,2744.3637303795895
322,3103.8106016896186,2985.006586533789
323,2930.313147706969,2627.0833577248973
324,0.0,2768.968790275746
325,0.0,2801.5607185439007
326,0.0,3004.072249255227
327,2747.233494725276,2652.640796384645
328,2988.7297217011273,2763.429393101026
329,3027.7666436972236,2855.152327095971
330,0.0,2658.1801935593676
331,2856.7037727143297,2788.034452997186
332,0.0,3023.1379119766634
333,0.0,2782.4950558224627
334,0.0,2898.823049713566
335,0.0,2952.4146582656344
336,2756.577314724342,2677.2458562808047
337,0.0,2874.2179898174095
338,0.0,2879.75738699213
339,0.0,2633.5751336632093
340,0.0,2965.9409238123526
341,3010.5799996989417,2912.349315260284
342,0.0,2990.5459837085127
343,2980.544652701946,2749.9031275543116
344,0.0,2893.283652538845
345,0.0,2860.691724270694
346,0.0,2639.1145308379296
347,0.0,2663.719590734087
348,3119.8852306880117,3009.6116464299466
349,0.0,2730.8374648328713
350,3110.1720826889828,2957.954055440356
351,0.0,2996.085380883231
352,2866.4812957133518,2755.442524729031
353,3143.4082176856596,2977.0197181617923
354,0.0,2644.6539280126512
355,3026.0149306973985,2885.296784166849
356,3143.888911685611,2925.362127172203
357,3063.4398376936556,2847.165458723977
358,3121.5868976878414,2971.4803209870743
359,3080.0538656919944,2814.5735304558216
360,0.0,2841.6260615492547
361,3127.342754687266,2963.493452615079
362,0.0,2774.508187450467
363,0.0,2717.311199286156
364,0.0,2620.0488681164925
365,0.0,2938.8883927189195
366,2960.7958327039205,2606.5226025697766
367,0.0,2722.8505964608776
368,3006.4648146993536,2592.9963370230585
369,0.0,2828.099796002538
370,0.0,2736.3768620075934
371,3088.645369691136,2833.6391931772614
372,0.0,2650.1933251873725
373,0.0,2852.7048558986976
374,0.0,2944.4277898936402
375,0.0,2631.1276624659354
376,2740.788818725921,2625.5882652912146
377,2960.760068703924,2760.9819219037495
378,2652.3191437347677,2598.9293457902654
379,0.0,2543.4993289690756
380,3106.7152306893286,2982.559115336515
381,3067.171087693283,2866.2311214454144
382,0.0,2703.7849337394377
383,3001.867777699813,2871.770518620133
384,0.0,2524.8107453209445
385,2786.307152721369,2691.100795784523
386,0.0,2741.916259182314
387,0.0,2820.0136789518474
388,0.0,2764.583662130651
389,0.0,2581.38278537671
390,0.0,2580.240762142136
391,2783.09925872169,2636.8128021979005
392,2747.509119725249,2488.069312147879
393,2800.3581477199637,2635.6707789633306
394,0.0,2728.9842521921564
395,2660.1426387339857,2489.2113353824493
396,0.0,2672.4122121363957
397,0.0,2616.9821953152004
398,2961.5902777038414,2612.061999744497
399,0.0,2544.6413522036414
400,2875.814744712419,2654.8656517228346
401,2859.4406937140557,2709.1536453094577
402,0.0,2673.5542353709648
403,0.0,2875.443695773038
404,2835.2883797164714,2765.7256853652225
405,0.0,2727.842228957587
406,0.0,2783.2722457787795
407,0.0,2432.6392953266854
408,0.0,2433.781318561256
409,2864.468518713553,2821.1557021864155
410,2892.6765967107326,2525.952768555515
411,0.0,2490.353358617016
412,2878.0156937121988,2618.1242185497745
413,0.0,2470.522751734319
414,0.0,2766.867708599793
415,0.0,2656.007674957407
416,2728.237846727176,2434.923341795826
417,0.0,2674.6962586055342
418,2837.2310417162766,2527.0947917900826
419,0.0,2546.2896645495875
420,0.0,2711.437691778599
421,0.0,2657.1496981919745
422,0.0,2378.351301740061
423,2868.916943713108,2562.6942017285764
424,2867.9606937132035,2324.063308153436
425,2863.611735713639,2600.5776581362115
426,2839.683680716031,2454.1182145553275
427,0.0,2582.524808611275
428,0.0,2416.234758147695
429,0.0,2563.836224963145
430,2842.316805715768,2710.295668544029
431,2838.2965967161704,2417.3767813822637
432,0.0,2269.7753145668125
433,2836.645115716336,2509.5482313765224
434,2831.9529167168043,2564.9782481977168
435,0.0,2508.406208141953
436,2831.0965047168906,2601.7196813707824
437,0.0,2471.66477496889
438,0.0,2445.3596772787264
439,0.0,2441.448353542822
440,0.0,2436.0653650303934
441,0.0,2379.4933249746323
442,0.0,2380.6353482092013
443,2816.455763718354,2528.2368150246516
444,0.0,2409.5965418347137
445,2880.334258711967,2619.266241784343
446,2828.6259257171373,2712.57971501317
447,0.0,2423.8818918176794
448,2846.587152715341,2361.9467645610707
449,2518.9804627481017,2420.9136447672204
450,0.0,2356.017243803835
451,0.0,2415.8514820745513
452,2544.8164577455177,2414.6587045273827
453,0.0,2350.9550811111676
454,0.0,2472.80679820346
455,0.0,2441.341793124855
456,0.0,2620.40826501891
457,2431.362985756864,2447.7032937826575
458,0.0,2447.7540683576694
459,2491.8082407508196,2419.7208672200522
460,0.0,2387.8690555119465
461,0.0,2383.9996703664438
462,0.0,2345.8929184184963
463,2516.186064748381,2382.806892819275
464,0.0,2392.9312182046137
465,0.0,2389.0618330591133
466,0.0,2361.079406496506
467,0.0,2357.2100213510053
468,0.0,2367.3343467363443
469,0.0,2325.205331388008
470,2553.385925744661,2377.744730126604
471,2449.0026617550993,2453.9582340224965
472,2473.190670752681,2352.147858658337
473,0.0,2437.3239089709837
474,2484.217430751578,2443.7361842037985
475,0.0,2394.1239957517823
476,0.0,2426.276282896622
477,0.0,2368.5271242835106
478,0.0,2450.1484594366098
479,0.0,2425.975807459889
480,2448.8010187551195,2358.402798898172
481,0.0,2390.2546106062796
482,2509.7881477490214,2427.168585007057
483,0.0,2439.7183000499253
484,2327.086295767291,2379.8442272160164
485,2408.7919437591213,2363.464961590841
486,2362.9548147637042,2373.589286976179
487,2328.4232637671576,2369.7199018306783
488,2343.9592357656043,2411.696038924123
489,0.0,2428.6706739755614
490,0.0,2399.186158444451
491,0.0,2422.106422314386
492,0.0,2442.1126911288666
493,0.0,2362.272184043675
494,2716.560601728344,2652.464154316955
495,0.0,2435.082949208374
496,0.0,2406.633876231457
497,0.0,2444.507082207806
498,2706.8661807293133,2671.5298170383894
499,0.0,2401.571713538788
500,2476.29624975237,2432.230747699725
501,2410.0364577589967,2405.4410986842868
502,0.0,2374.782064523347
503,2408.145300759186,2400.378935991617
504,0.0,2782.318413754769
505,0.0,2456.5607346694223
506,0.0,2749.7264854866175
507,2441.226156755877,2452.5428505155514
508,2755.644467724436,2768.7921482080537
509,0.0,2446.130575282738
510,2381.8822687618117,2428.361362554223
511,0.0,2763.252751033333
512,0.0,2984.829944466097
513,2487.677244751232,2395.3167732989505
514,0.0,2965.764281744657
515,2988.506272701149,2725.1214255904574
516,2311.0313657688966,2364.657739138008
517,0.0,2638.9378887702364
518,2700.6220367299375,2658.003551491674
519,3008.058541699194,2744.187088311896
520,2990.7435647009256,3003.8956071875327
521,0.0,2633.398491595517
522,0.0,2971.3036789193798
523,2375.5463887624455,2431.0650650545026
524,2993.422175700658,2854.9756850282783
525,0.0,2396.5095508461145
526,2925.175254707483,2946.6986190232215
527,2995.70286970043,2874.0413477497154
528,0.0,2835.91002230684
529,0.0,2879.5807449244394
530,0.0,2860.5150822029996
531,2387.2175927612784,2433.423525246895
532,0.0,2933.172353476504
533,2662.0430317337955,2614.332828874079
534,2712.5151387287488,2644.47728594496
535,2985.478379701452,2990.3693416408178
536,2824.679050717532,2893.107010471152
537,2417.779096758222,2448.524966361678
538,0.0,2711.595160043744
539,0.0,2619.8722260488
540,0.0,2976.843076094101
541,2985.113633701488,2938.7117506512263
542,0.0,2841.4494194815607
543,2999.8296527000166,2730.66082276518
544,0.0,2906.119822383073
545,2724.212846727579,2625.4116232235206
546,0.0,2736.2002199399008
547,0.0,2637.442796336554
548,2635.9408097364058,2600.8065633273623
549,2929.690092707031,2919.646087929789
550,0.0,2866.054479377718
551,2961.670555703833,2795.331225666693
552,2956.2902547043705,2957.7774133726634
553,0.0,2587.2802977806446
554,2957.2913657042704,2944.251147825948
555,2758.938703724106,2755.2658826613397
556,0.0,2822.3837567601263
557,0.0,2952.2380161979427
558,0.0,2698.068894497026
559,0.0,2703.6082916717473
560,2901.568379709843,2573.75403223393
561,2686.280508731372,2656.5084590579895
562,0.0,2717.1345572184646
563,2744.3298377255674,2767.29705577437
564,0.0,2833.4625511095664
565,0.0,2814.3968883881303
