SD1,sD1,SD2,sD2,SR1,sR1,SR2,sR2
630,418,695,380,315,163,493,424
750,500,750,369,300,121,362,180
750,500,750,350,317,134,420,239
706,410,694,460,367,114,437,232
750,500,750,500,302,117,300,120
750,500,750,500,300,117,300,120
732,487,737,421,402,184,332,165
750,358,750,452,357,176,355,171
750,500,750,500,412,244,355,195
